"","yearmonth","quarter","year","city","female1","female2","female3","female4","female5","female6","female7","female8","totalfemale","male1","male2","male3","male4","male5","male6","male7","male8","totalmale","totalcitypop"
"92","2015-12",4,2015,"Smidstrup",6,14,65,24,72,123,34,37,375,10,16,74,27,67,128,40,15,377,752
"93","2015-12",4,2015,"Thyregod",18,29,102,59,112,209,85,45,659,22,28,99,56,131,226,95,23,680,1339
"94","2015-12",4,2015,"Vandel",8,18,57,30,66,130,47,20,376,18,12,55,31,69,145,55,12,397,773
"95","2015-12",4,2015,"Vonge",12,6,44,33,49,104,42,12,302,11,5,30,28,62,115,42,7,300,602
"96","2015-12",4,2015,"Ødsted",20,30,114,52,121,241,102,29,709,24,36,115,60,108,254,94,20,711,1420
"97","2016-03",1,2016,"Vejle",860,915,3413,3013,5176,9038,4179,1583,28177,922,972,3570,3117,5542,8711,3575,904,27313,55490
"98","2016-03",1,2016,"Andkær",5,3,22,12,28,65,11,2,148,2,6,28,15,25,66,17,3,162,310
"99","2016-03",1,2016,"Bredal",13,15,61,10,55,113,33,8,308,4,24,65,22,44,117,29,4,309,617
"100","2016-03",1,2016,"Bredsten",24,27,153,54,111,292,113,62,836,20,26,170,72,101,294,114,35,832,1668
"101","2016-03",1,2016,"Brejning",41,47,214,95,206,546,228,43,1420,36,60,238,109,193,553,230,39,1458,2878
"102","2016-03",1,2016,"Børkop",101,116,459,180,476,849,414,117,2712,121,164,517,188,442,815,339,83,2669,5381
"103","2016-03",1,2016,"Egtved",32,31,137,62,172,358,232,143,1167,22,44,155,88,168,375,213,75,1140,2307
"104","2016-03",1,2016,"Gadbjerg",17,13,62,19,56,122,49,23,361,20,16,44,18,76,130,63,20,387,748
"105","2016-03",1,2016,"Give",58,80,279,165,326,769,465,236,2378,60,68,291,209,325,711,393,141,2198,4576
"106","2016-03",1,2016,"Givskud",11,13,30,30,45,93,53,21,296,18,12,41,19,62,107,52,14,325,621
"107","2016-03",1,2016,"Gravens/Ågård",12,21,101,45,91,233,97,41,641,14,20,127,58,86,248,94,23,670,1311
"108","2016-03",1,2016,"Grejs",20,21,105,40,73,181,79,16,535,16,23,118,46,70,170,67,16,526,1061
"109","2016-03",1,2016,"Gårslev",20,17,78,39,79,190,93,18,534,14,26,99,32,76,193,100,14,554,1088
"110","2016-03",1,2016,"Jelling",49,57,287,165,264,569,263,130,1784,48,63,293,181,211,583,226,68,1673,3457
"111","2016-03",1,2016,"Jerlev",11,15,56,26,48,122,53,10,341,15,13,44,30,57,121,57,6,343,684
"112","2016-03",1,2016,"Ny Højen",6,10,61,23,52,118,57,12,339,9,20,52,40,50,114,63,6,354,693
"113","2016-03",1,2016,"Nørup",5,15,54,31,58,114,55,20,352,13,22,43,38,60,113,61,10,360,712
"114","2016-03",1,2016,"Skibet",35,41,201,78,148,373,151,18,1045,27,50,217,80,119,351,149,17,1010,2055
"115","2016-03",1,2016,"Skærup",8,10,38,19,41,95,45,3,259,10,7,29,18,41,90,49,1,245,504
"116","2016-03",1,2016,"Smidstrup",8,12,66,25,75,124,36,35,381,12,18,76,24,68,130,40,16,384,765
"117","2016-03",1,2016,"Thyregod",18,31,100,58,115,210,85,44,661,20,25,100,54,133,227,95,25,679,1340
"118","2016-03",1,2016,"Vandel",9,19,58,31,65,129,49,19,379,15,14,55,31,71,142,55,12,395,774
"119","2016-03",1,2016,"Vonge",12,5,44,28,49,106,43,11,298,9,8,29,27,63,114,43,6,299,597
"120","2016-03",1,2016,"Ødsted",21,27,117,54,123,245,105,26,718,28,35,119,58,114,256,91,20,721,1439
"121","2016-06",2,2016,"Vejle",877,902,3414,3019,5207,9079,4185,1591,28274,970,963,3557,3130,5555,8742,3585,918,27420,55694
"122","2016-06",2,2016,"Andkær",5,3,21,13,28,64,11,2,147,3,6,30,16,24,68,18,3,168,315
"123","2016-06",2,2016,"Bredal",12,16,62,8,56,113,33,7,307,4,19,68,22,46,119,29,4,311,618
"124","2016-06",2,2016,"Bredsten",25,21,160,54,110,296,115,61,842,17,26,169,72,94,294,113,38,823,1665
"125","2016-06",2,2016,"Brejning",44,50,208,105,214,536,229,42,1428,36,58,243,110,205,559,236,41,1488,2916
"126","2016-06",2,2016,"Børkop",101,112,465,169,470,853,413,118,2701,113,168,508,193,431,820,337,85,2655,5356
"127","2016-06",2,2016,"Egtved",32,29,143,64,168,359,232,148,1175,21,44,153,86,170,380,212,76,1142,2317
"128","2016-06",2,2016,"Gadbjerg",17,12,64,20,56,121,50,22,362,16,18,46,20,76,129,64,21,390,752
"129","2016-06",2,2016,"Give",61,74,283,167,321,761,476,237,2380,60,64,296,220,316,719,391,144,2210,4590
"130","2016-06",2,2016,"Givskud",10,13,30,33,45,93,53,20,297,16,12,42,20,58,110,53,14,325,622
"131","2016-06",2,2016,"Gravens/Ågård",17,19,94,46,85,234,98,41,634,14,20,129,55,87,248,98,23,674,1308
"132","2016-06",2,2016,"Grejs",17,23,104,43,73,179,82,16,537,18,24,117,47,71,170,65,16,528,1065
"133","2016-06",2,2016,"Gårslev",18,16,79,42,79,191,93,18,536,14,26,99,35,73,191,99,15,552,1088
"134","2016-06",2,2016,"Jelling",51,56,284,167,268,569,263,128,1786,51,64,295,181,215,583,226,71,1686,3472
"135","2016-06",2,2016,"Jerlev",9,15,55,28,47,124,56,10,344,13,16,42,34,55,121,56,7,344,688
"136","2016-06",2,2016,"Ny Højen",8,8,60,27,47,124,55,13,342,9,20,50,40,49,119,63,5,355,697
"137","2016-06",2,2016,"Nørup",4,19,55,32,59,119,54,21,363,14,21,45,43,60,116,63,10,372,735
"138","2016-06",2,2016,"Skibet",34,42,194,79,144,373,152,20,1038,27,42,225,80,119,354,149,17,1013,2051
"139","2016-06",2,2016,"Skærup",11,9,36,16,42,93,46,3,256,10,7,30,16,38,91,52,1,245,501
"140","2016-06",2,2016,"Smidstrup",8,12,68,25,74,128,35,37,387,15,17,77,24,76,130,42,14,395,782
"141","2016-06",2,2016,"Thyregod",18,33,104,60,113,218,84,45,675,21,26,100,52,138,227,94,28,686,1361
"142","2016-06",2,2016,"Vandel",9,15,61,27,66,131,50,19,378,12,15,55,32,71,141,59,12,397,775
"143","2016-06",2,2016,"Vonge",11,6,43,24,51,102,43,12,292,10,6,26,30,62,112,42,7,295,587
"144","2016-06",2,2016,"Ødsted",24,25,116,59,128,247,106,26,731,29,35,120,60,119,253,93,21,730,1461
"145","2016-09",3,2016,"Vejle",887,886,3461,3005,5259,9100,4213,1608,28419,991,965,3590,3136,5597,8780,3603,943,27605,56024
"146","2016-09",3,2016,"Andkær",3,4,21,13,28,65,11,2,147,5,5,32,13,25,67,19,3,169,316
"147","2016-09",3,2016,"Bredal",16,14,63,9,58,111,33,8,312,4,17,70,24,48,122,27,4,316,628
"148","2016-09",3,2016,"Bredsten",25,19,165,52,112,291,116,61,841,12,29,170,70,92,297,114,37,821,1662
"149","2016-09",3,2016,"Brejning",42,45,207,114,217,535,228,43,1431,42,55,247,111,201,550,241,41,1488,2919
"150","2016-09",3,2016,"Børkop",108,103,476,167,480,862,414,119,2729,118,160,513,196,425,830,338,82,2662,5391
"151","2016-09",3,2016,"Egtved",36,23,145,62,165,358,234,151,1174,26,40,154,83,170,378,215,80,1146,2320
"152","2016-09",3,2016,"Gadbjerg",21,12,66,18,55,123,51,23,369,13,19,47,24,74,131,65,21,394,763
"153","2016-09",3,2016,"Give",55,73,280,165,327,760,477,236,2373,69,66,294,226,317,724,389,144,2229,4602
"154","2016-09",3,2016,"Givskud",8,13,30,30,44,96,52,20,293,12,11,41,24,54,107,55,14,318,611
"155","2016-09",3,2016,"Gravens/Ågård",17,15,93,46,84,232,94,42,623,12,21,133,57,89,248,100,22,682,1305
"156","2016-09",3,2016,"Grejs",17,21,101,44,77,177,81,15,533,18,21,118,48,71,171,65,17,529,1062
"157","2016-09",3,2016,"Gårslev",18,18,75,44,84,193,93,20,545,16,26,98,32,77,191,100,16,556,1101
"158","2016-09",3,2016,"Jelling",50,59,277,160,261,569,269,127,1772,50,66,287,176,216,579,227,67,1668,3440
"159","2016-09",3,2016,"Jerlev",12,12,57,27,48,123,57,10,346,12,15,45,35,52,122,56,7,344,690
"160","2016-09",3,2016,"Ny Højen",8,9,60,23,46,126,54,13,339,9,16,53,37,49,121,63,5,353,692
"161","2016-09",3,2016,"Nørup",4,17,54,35,58,123,54,22,367,11,21,45,37,62,116,65,10,367,734
"162","2016-09",3,2016,"Skibet",31,43,195,77,143,374,156,20,1039,27,40,224,76,119,357,149,18,1010,2049
"163","2016-09",3,2016,"Skærup",11,11,35,18,41,91,46,3,256,10,7,31,17,37,90,53,1,246,502
"164","2016-09",3,2016,"Smidstrup",7,13,67,27,72,128,34,39,387,17,13,79,27,78,136,41,14,405,792
"165","2016-09",3,2016,"Thyregod",21,31,103,58,116,216,85,47,677,20,26,104,53,137,226,92,28,686,1363
"166","2016-09",3,2016,"Vandel",10,17,61,26,66,132,51,19,382,15,15,57,34,71,143,59,13,407,789
"167","2016-09",3,2016,"Vonge",12,9,43,25,52,101,42,13,297,11,6,25,28,64,111,44,6,295,592
"168","2016-09",3,2016,"Ødsted",24,25,112,57,128,243,106,26,721,27,40,117,62,113,259,94,20,732,1453
"169","2016-12",4,2016,"Vejle",907,892,3479,3022,5317,9086,4243,1614,28560,994,962,3585,3131,5636,8816,3609,934,27667,56227
"170","2016-12",4,2016,"Andkær",5,4,21,11,27,65,11,2,146,6,5,32,11,27,67,19,3,170,316
"171","2016-12",4,2016,"Bredal",14,14,68,11,58,110,33,8,316,4,16,70,27,50,125,27,4,323,639
"172","2016-12",4,2016,"Bredsten",26,22,154,57,118,284,117,63,841,11,28,169,76,96,288,120,35,823,1664
"173","2016-12",4,2016,"Brejning",43,45,211,109,218,544,227,41,1438,52,53,247,114,208,542,245,41,1502,2940
"174","2016-12",4,2016,"Børkop",112,103,476,173,485,863,412,124,2748,119,155,524,189,430,837,338,83,2675,5423
