month;quarter;year;city;female1;female2;female3;female4;female5;female6;female7;female8;totalfemale;male1;male2;male3;male4;male5;male6;male7;male8;totalmale;totalcitypop
dec-15;4;2015;Bredal;11;15;62;10;57;110;33;8;306;6;25;65;23;47;118;27;4;315;621
dec-15;4;2015;Bredsten;25;28;156;46;112;290;113;58;828;19;26;172;66;102;293;116;34;828;1656
dec-15;4;2015;Brejning/Kellers Park;41;42;208;94;202;529;213;41;1.37;38;60;235;96;186;528;220;33;1.396;2.766
dec-15;4;2015;Børkop;95;121;452;170;459;842;404;115;2.658;124;166;509;175;442;794;333;83;2.626;5.284
dec-15;4;2015;Egtved;31;33;139;61;172;360;227;140;1.163;22;43;155;84;169;379;208;76;1.136;2.299
dec-15;4;2015;Engum;1;;5;4;7;23;3;4;47;3;1;11;9;6;23;5;2;60;107
dec-15;4;2015;Gadbjerg;20;12;60;15;56;116;48;24;351;20;12;43;19;76;130;59;20;379;730
dec-15;4;2015;Give;57;83;274;172;325;757;460;192;2.32;62;70;301;192;323;705;383;123;2.159;4.479
dec-15;4;2015;Givskud;10;13;30;30;43;97;53;19;295;17;8;42;21;60;105;52;13;318;613
dec-15;4;2015;Gl. Højen;3;2;7;5;7;11;7;;42;1;3;6;1;9;10;7;1;38;80
dec-15;4;2015;Gravens/Ågård;13;23;95;42;87;233;98;39;630;14;21;135;59;91;253;96;22;691;1321
dec-15;4;2015;Grejs;20;19;102;41;73;180;83;14;532;17;25;111;42;66;168;68;15;512;1044
dec-15;4;2015;Gårslev;22;14;78;44;80;193;93;17;541;14;29;91;36;74;190;103;14;551;1092
dec-15;4;2015;Hornstrup Mølleby;1;;4;3;7;17;8;1;41;2;2;7;4;4;21;6;;46;87
dec-15;4;2015;Jelling;46;52;288;169;259;548;266;127;1.755;48;69;276;176;211;570;228;71;1.649;3.404
dec-15;4;2015;Jerlev;11;17;55;24;52;120;52;11;342;11;16;42;31;58;119;56;6;339;681
dec-15;4;2015;Kirkeby;1;2;10;1;11;22;11;1;59;1;2;9;4;7;25;12;1;61;120
dec-15;4;2015;Langelund-Grønbjerg;4;8;19;9;23;59;19;;141;5;6;20;16;32;64;25;4;172;313
dec-15;4;2015;Nr. Vilstrup;4;5;23;7;20;42;29;3;133;5;3;14;5;18;46;23;5;119;252
dec-15;4;2015;Ny Højen;5;10;60;23;47;116;55;14;330;10;20;53;36;51;111;60;6;347;677
dec-15;4;2015;Nørup;4;14;50;29;52;108;55;18;330;16;17;46;30;56;105;56;9;335;665
dec-15;4;2015;Skibet;31;45;201;80;151;372;149;18;1.047;26;49;216;81;118;353;152;15;1.01;2.057
dec-15;4;2015;Skærup;10;9;37;20;40;94;44;3;257;9;8;26;19;42;87;49;1;241;498
dec-15;4;2015;Smidstrup;6;14;65;24;70;122;34;37;372;10;16;74;27;67;126;40;15;375;747
dec-15;4;2015;Thyregod;18;29;102;59;112;208;83;34;645;21;28;99;58;131;226;93;18;674;1319
dec-15;4;2015;Vandel;8;18;57;30;66;130;47;20;376;18;12;55;31;69;145;55;12;397;773
